201 #Points
1 0.0 0.0
2 0.05 0.06368
3 0.1 0.12672
4 0.15 0.18911999999999998
5 0.2 0.25088000000000005
6 0.25 0.312
7 0.3 0.3724799999999999
8 0.35 0.43232000000000004
9 0.4 0.49152
10 0.45 0.5500800000000001
11 0.5 0.608
12 0.55 0.66528
13 0.6 0.72192
14 0.65 0.7779200000000001
15 0.7 0.83328
16 0.75 0.888
17 0.8 0.9420799999999999
18 0.85 0.99552
19 0.9 1.0483200000000001
20 0.95 1.1004800000000001
21 1.0 1.1520000000000001
22 1.05 1.2028800000000002
23 1.1 1.2531200000000002
24 1.15 1.3027199999999999
25 1.2 1.35168
26 1.25 1.4000000000000001
27 1.3 1.44768
28 1.35 1.49472
29 1.4 1.5411199999999998
30 1.45 1.58688
31 1.5 1.6320000000000001
32 1.55 1.67648
33 1.6 1.72032
34 1.65 1.76352
35 1.7 1.8060800000000001
36 1.75 1.848
37 1.8 1.88928
38 1.85 1.92992
39 1.9 1.96992
40 1.95 2.00928
41 2.0 2.048
42 2.05 2.08608
43 2.1 2.1235200000000005
44 2.15 2.16032
45 2.2 2.19648
46 2.25 2.232
47 2.3 2.26688
48 2.35 2.30112
49 2.4 2.33472
50 2.45 2.3676800000000005
51 2.5 2.4
52 2.55 2.4316799999999996
53 2.6 2.4627200000000005
54 2.65 2.49312
55 2.7 2.5228800000000002
56 2.75 2.552
57 2.8 2.58048
58 2.85 2.6083200000000004
59 2.9 2.6355199999999996
60 2.95 2.6620800000000004
61 3.0 2.688
62 3.05 2.7132799999999997
63 3.1 2.7379200000000004
64 3.15 2.76192
65 3.2 2.78528
66 3.25 2.8080000000000003
67 3.3 2.83008
68 3.35 2.8515200000000003
69 3.4 2.8723199999999998
70 3.45 2.8924800000000004
71 3.5 2.912
72 3.55 2.9308799999999997
73 3.6 2.9491200000000006
74 3.65 2.96672
75 3.7 2.98368
76 3.75 3.0
77 3.8 3.01568
78 3.85 3.03072
79 3.9 3.04512
80 3.95 3.0588800000000003
81 4.0 3.072
82 4.05 3.08448
83 4.1 3.09632
84 4.15 3.10752
85 4.2 3.1180800000000004
86 4.25 3.128
87 4.3 3.13728
88 4.35 3.14592
89 4.4 3.15392
90 4.45 3.16128
91 4.5 3.168
92 4.55 3.1740800000000005
93 4.6 3.17952
94 4.65 3.18432
95 4.7 3.18848
96 4.75 3.1919999999999997
97 4.8 3.19488
98 4.85 3.1971200000000004
99 4.9 3.1987200000000002
100 4.95 3.1996800000000003
101 5.0 3.2
102 5.05 3.19968
103 5.1 3.19872
104 5.15 3.19712
105 5.2 3.1948800000000004
106 5.25 3.192
107 5.3 3.18848
108 5.35 3.18432
109 5.4 3.17952
110 5.45 3.17408
111 5.5 3.1679999999999997
112 5.55 3.16128
113 5.6 3.1539200000000003
114 5.65 3.14592
115 5.7 3.13728
116 5.75 3.128
117 5.8 3.11808
118 5.85 3.1075200000000005
119 5.9 3.09632
120 5.95 3.08448
121 6.0 3.072
122 6.05 3.0588800000000003
123 6.1 3.04512
124 6.15 3.0307199999999996
125 6.2 3.01568
126 6.25 3.0
127 6.3 2.98368
128 6.35 2.96672
129 6.4 2.9491199999999997
130 6.45 2.9308799999999997
131 6.5 2.9120000000000004
132 6.55 2.8924800000000004
133 6.6 2.87232
134 6.65 2.85152
135 6.7 2.83008
136 6.75 2.808
137 6.8 2.78528
138 6.85 2.7619200000000004
139 6.9 2.73792
140 6.95 2.71328
141 7.0 2.688
142 7.05 2.66208
143 7.1 2.63552
144 7.15 2.6083199999999995
145 7.2 2.58048
146 7.25 2.552
147 7.3 2.5228800000000002
148 7.35 2.4931200000000002
149 7.4 2.4627199999999996
150 7.45 2.4316799999999996
151 7.5 2.4
152 7.55 2.3676800000000005
153 7.6 2.3347200000000004
154 7.65 2.3011199999999996
155 7.7 2.26688
156 7.75 2.232
157 7.8 2.19648
158 7.85 2.16032
159 7.9 2.1235199999999996
160 7.95 2.08608
161 8.0 2.048
162 8.05 2.0092799999999995
163 8.1 1.9699200000000003
164 8.15 1.9299199999999999
165 8.2 1.8892800000000005
166 8.25 1.848
167 8.3 1.8060799999999992
168 8.35 1.7635200000000004
169 8.4 1.7203199999999998
170 8.45 1.6764800000000006
171 8.5 1.6320000000000001
172 8.55 1.5868799999999992
173 8.6 1.5411200000000005
174 8.65 1.4947199999999996
175 8.7 1.4476800000000007
176 8.75 1.4000000000000001
177 8.8 1.3516799999999993
178 8.85 1.3027200000000005
179 8.9 1.2531199999999996
180 8.95 1.2028800000000008
181 9.0 1.1520000000000001
182 9.05 1.1004799999999992
183 9.1 1.0483200000000004
184 9.15 0.9955199999999996
185 9.2 0.9420800000000008
186 9.25 0.8879999999999999
187 9.3 0.8332799999999992
188 9.35 0.7779200000000005
189 9.4 0.7219199999999996
190 9.45 0.6652800000000009
191 9.5 0.608
192 9.55 0.5500799999999992
193 9.6 0.4915200000000004
194 9.65 0.4323199999999996
195 9.7 0.37248000000000087
196 9.75 0.312
197 9.8 0.25087999999999916
198 9.85 0.18912000000000043
199 9.9 0.12671999999999956
200 9.95 0.0636800000000009
201 10.0 0.0
1 #Material
1 200000000000.0 0.3
1 #Plane
1 1 0.2 0.3
200 #Unit
1 1 2 1 1
2 2 3 1 1
3 3 4 1 1
4 4 5 1 1
5 5 6 1 1
6 6 7 1 1
7 7 8 1 1
8 8 9 1 1
9 9 10 1 1
10 10 11 1 1
11 11 12 1 1
12 12 13 1 1
13 13 14 1 1
14 14 15 1 1
15 15 16 1 1
16 16 17 1 1
17 17 18 1 1
18 18 19 1 1
19 19 20 1 1
20 20 21 1 1
21 21 22 1 1
22 22 23 1 1
23 23 24 1 1
24 24 25 1 1
25 25 26 1 1
26 26 27 1 1
27 27 28 1 1
28 28 29 1 1
29 29 30 1 1
30 30 31 1 1
31 31 32 1 1
32 32 33 1 1
33 33 34 1 1
34 34 35 1 1
35 35 36 1 1
36 36 37 1 1
37 37 38 1 1
38 38 39 1 1
39 39 40 1 1
40 40 41 1 1
41 41 42 1 1
42 42 43 1 1
43 43 44 1 1
44 44 45 1 1
45 45 46 1 1
46 46 47 1 1
47 47 48 1 1
48 48 49 1 1
49 49 50 1 1
50 50 51 1 1
51 51 52 1 1
52 52 53 1 1
53 53 54 1 1
54 54 55 1 1
55 55 56 1 1
56 56 57 1 1
57 57 58 1 1
58 58 59 1 1
59 59 60 1 1
60 60 61 1 1
61 61 62 1 1
62 62 63 1 1
63 63 64 1 1
64 64 65 1 1
65 65 66 1 1
66 66 67 1 1
67 67 68 1 1
68 68 69 1 1
69 69 70 1 1
70 70 71 1 1
71 71 72 1 1
72 72 73 1 1
73 73 74 1 1
74 74 75 1 1
75 75 76 1 1
76 76 77 1 1
77 77 78 1 1
78 78 79 1 1
79 79 80 1 1
80 80 81 1 1
81 81 82 1 1
82 82 83 1 1
83 83 84 1 1
84 84 85 1 1
85 85 86 1 1
86 86 87 1 1
87 87 88 1 1
88 88 89 1 1
89 89 90 1 1
90 90 91 1 1
91 91 92 1 1
92 92 93 1 1
93 93 94 1 1
94 94 95 1 1
95 95 96 1 1
96 96 97 1 1
97 97 98 1 1
98 98 99 1 1
99 99 100 1 1
100 100 101 1 1
101 101 102 1 1
